id,score,sentiment
11852687,9,1
11852732,7,1
11852732,7,-1
11852732,7,-1
11852732,7,-1
11852783,10,1
11852783,10,1
11852783,10,1
11852783,10,1
11852817,10,1
11852817,10,1
11852818,10,1
11852820,10,-1
11852853,10,1
11852853,10,1
11852853,10,1
11852854,10,1
11852854,10,1
11852951,10,1
11853001,10,1
11853001,10,1
11853001,10,1
11853002,10,1
11853003,10,1
11853003,10,1
11853003,10,1
11853043,8,1
11853043,8,1
11853043,8,1
11853046,10,1
11853046,10,1
11853046,10,1
11853047,10,1
11853047,10,1
11853047,10,1
11853047,10,1
11853048,10,1
11853049,10,1
11853049,10,1
11853049,10,1
11853049,10,1
11853099,10,1
11853099,10,1
11853099,10,1
11853099,10,1
11853102,3,-1
11853104,10,1
11853152,10,1
11853152,10,1
11853208,9,1
11853722,10,1
11853722,10,1
11853722,10,1
11853773,7,-1
11853812,9,1
11853812,9,1
11853812,9,1
11853812,9,1
11853812,9,1
11853870,9,1
11853976,10,1
11853976,10,1
11853976,10,1
11853976,10,1
11853977,10,1
11853977,10,1
11853977,10,1
11853977,10,1
11853977,10,1
11853978,10,1
11853978,10,1
11853978,10,1
11854491,10,1
11854491,10,1
11854491,10,1
11854636,10,1
11854774,4,-1
11856396,8,1
11856396,8,1
11856467,10,1
11856646,9,1
11856646,9,1
11856646,9,1
11856687,10,1
11856687,10,1
11863714,10,1
11863714,10,1
11863715,10,1
11863715,10,1
11863842,10,1
11863843,8,-1
11863847,10,1
11863847,10,1
11863847,10,1
11864204,10,1
11864204,10,1
11864204,10,1
11864240,10,1
11864240,10,1
11864342,9,1
11864392,8,1
11864440,10,1
11864440,10,1
11864440,10,1
11864563,8,1
11864579,4,-1
11864589,5,1
11864589,5,-1
11864794,6,1
11864794,6,1
11864794,6,1
11864794,6,1
11864796,7,-1
11864797,10,1
11864797,10,-1
11864797,10,1
11864798,0,-1
11864837,10,1
11864840,8,1
11864840,8,-1
11864840,8,1
11864841,7,-1
11864843,9,1
11864843,9,1
11864844,10,1
11864844,10,1
11864845,10,1
11864845,10,1
11864846,8,-1
11864847,10,1
11864848,10,1
11864848,10,1
11864848,10,1
11864850,0,-1
11864896,1,1
11864896,1,-1
11864897,10,1
11864898,10,1
11864899,10,1
11864899,10,1
11864951,4,1
11864951,4,-1
11864947,10,1
11864947,10,1
11864948,10,1
11864948,10,1
11864949,10,1
11864949,10,1
11864950,10,1
11864952,5,-1
11864953,10,1
11864953,10,1
11864953,10,1
11864954,10,1
11865003,10,1
11865004,10,1
11865045,7,-1
11865045,7,-1
11865090,10,1
11865126,10,1
11865126,10,1
11865126,10,1
11865126,10,1
11865194,7,-1
11865196,10,1
11865240,7,1
11865240,7,-1
11865240,7,-1
11865241,10,1
11865241,10,1
11865241,10,1
11865357,10,1
11865357,10,1
